Core-index,jlpt,Vocab-expression,Vocab-kana,Bahasa-meaning,Vocab-meaning-eng,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning-Bahasa,Sentence-meaning-eng
19,JLPT4,今年,ことし,Tahun ini,this year,Noun,今年はイタリアに旅行したい。,ことし は いたりあ に りょこう したい,Tahun ini saya ingin berlibur ke Italia.,I want to travel to Italy this year.
20,JLPT4,知る,しる,Tahu,know,Verb,誰もその話を知らない。,だれ も その はなし を しらない,Tidak ada yang tahu cerita itu.,No one knows that story.
21,JLPT4,作る,つくる,Membuat,"make, create",Verb,今、朝ご飯を作っています。,いま あさごはん を つくって います,Sekarang saya sedang membuat sarapan.,I'm making breakfast now.
22,JLPT4,同じ,おなじ,Sama,"same, identical",Adjectival Noun,彼の日本語のレベルは私と同じ位だ。,かれ の にほんご の れべる は わたし と おなじ くらい だ,Tingkat bahasa Jepang dia sama dengan saya.,His Japanese level is about the same as mine.
23,JLPT4,今,いま,Sekarang,now,Adverb,彼は今、勉強しています。,かれ は いま べんきょう して います,Dia sedang belajar sekarang.,He's studying now.
24,JLPT3,続く,つづく,Berlanjut,"continue, follow",Verb,工事は3月まで続きます。,こうじ は さんがつ まで つづきます,Pekerjaan konstruksi akan berlanjut sampai Maret.,Construction will continue until March.
25,JLPT4,国,くに,Negara,country,Noun,私の国について少しお話しましょう。,わたし の くに に ついて すこし おはなし しましょう,Mari kita bicara sedikit tentang negaraku.,Let me tell you a bit about my country.
26,JLPT2,未だ,まだ,Belum,"yet, more",Adverb,宿題は未だ終わっていません。,しゅくだい は まだ おわって いません,Pekerjaan rumah belum selesai.,I haven't finished my homework yet.
27,JLPT4,やる,やる,Memberi,do,Verb,一緒に宿題をやろう。,いっしょ に しゅくだい を やろう,Saya memberi makan anjing.,Let's do our homework together.
28,JLPT4,言う,いう,Katakan,"say, tell",Verb,上司が「一杯、飲もう。」と言った。,じょうし が いっぱい のもう と いった,"Bos berkata, 'Mari minum satu gelas.'","My boss said: ""Let's have a drink."""
29,JLPT2,少ない,すくない,Sedikit,"few, little",Adjective,今年は雨が少ないです。,ことし は あめ が すくない です 。,Tahun ini hujan sedikit.,There's not much rain this year.
30,JLPT4,行く,いく,Pergi,go,Verb,日曜日は図書館に行きます。,にちようび は としょかん に いきます,Saya pergi ke perpustakaan pada hari Minggu.,I go to the library on Sundays.
31,JLPT3,決める,きめる,Memutuskan,"decide, agree upon",Verb,帰国することに決めました。,きこく する こと に きめました,Saya memutuskan untuk pulang ke negara.,I've decided to go back to my country.
32,JLPT4,高い,たかい,Tinggi,"high, tall",Adjective,これがこの町で一番高いビルです。,これ が この まち で いちばん たかい びる です,Ini gedung tertinggi di kota ini.,This is the tallest building in town.
33,JLPT3,考える,かんがえる,Berpikir,"think, consider",Verb,よく考えてください。,よく かんがえて ください,Silakan pikirkan baik-baik.,Please think carefully.
34,JLPT2,感じる,かんじる,Merasa,"feel, sense",Verb,膝に痛みを感じます。,ひざ に いたみ を かんじます,Saya merasakan sakit di lutut.,I feel a pain in my knee.
35,JLPT4,子供,こども,Anak-anak,"child, kid",Noun,電車で子供が騒いでいた。,でんしゃ で こども が さわいで いた,Anak-anak berisik di kereta.,Kids were making a racket in the train.
36,JLPT4,そう,そう,Begitu,"in such manner, that way",Adverb,私もそう思います。,わたし も そう おもいます,Saya juga berpikir begitu.,That's what I think too.
37,JLPT4,大学,だいがく,Universitas,"university, college",Noun,大学に行ってもっと勉強したいです。,だいがく に いって もっと べんきょう したい です,Saya ingin pergi ke universitas dan belajar lebih banyak.,I want to go to college and study more.
38,JLPT4,もう,もう,Lagi,"already, yet",Adverb,彼はもう帰りました。,かれ は もう かえりました 。,Tolong beri saya secangkir kopi lagi.,He's already gone home.
39,JLPT4,近く,ちかく,Dekat,"near, close to",Adverb,駅の近くで食事をした。,えき の ちかく で しょくじ を した,Rumah saya dekat dengan stasiun.,I ate near the station.
40,JLPT4,入れる,いれる,Masukkan,put in,Verb,彼はかばんに手帳を入れた。,かれ は かばん に てちょう を いれた,Dia memasukkan buku catatan ke dalam tas.,He put the appointment book in his bag.
41,JLPT4,学生,がくせい,Pelajar,student,Noun,彼は真面目な学生です。,かれ は まじめ な がくせい です,Dia adalah pelajar yang serius.,He's a serious student.
42,JLPT4,午後,ごご,Sore,"afternoon, p.m.",Noun,明日の午後、お客様が来る。,あす の ごご おきゃくさま が くる,"Besok sore, tamu akan datang.",A guest is coming to visit tomorrow afternoon.
43,JLPT4,長い,ながい,Panjang,long,Adjective,彼女の髪はとても長い。,かのじょ の かみ は とても ながい,Rambutnya sangat panjang.,Her hair is very long.
44,JLPT4,本,ほん,Buku,"book, volume",Noun,本を１冊買いました。,ほん を いっさつ かいました,Saya membeli satu buku.,I bought one book.
45,JLPT4,よく,よく,Dengan baik,often,Adverb,彼女はよく旅行に行きます。,かのじょ は よく りょこう に いきます,"Kamu tahu jawabannya dengan baik, ya.",She often goes on holiday.
46,JLPT3,彼女,かのじょ,Dia (wanita),"she, one's girlfriend",Pronoun,彼女はOLです。,かのじょ は おーえる です,Dia seorang pekerja kantor.,She's an office worker.
47,JLPT4,聞く,きく,Mendengarkan,"hear, ask",Verb,彼女はラジオを聞いています。,かのじょ は らじお を きいて います,Dia sedang mendengarkan radio.,She's listening to the radio.
48,JLPT4,どう,どう,Bagaimana,"how, what",Adverb,あなたはどう思いますか。,あなた は どう おもいます か,Bagaimana pendapat Anda?,What do you think?
49,JLPT3,生きる,いきる,Hidup,live (one's life),Verb,皆一生懸命生きている。,みんな いっしょうけんめい いきて いる,Semua orang hidup dengan giat.,They're all living their lives the best way that they can.
50,JLPT4,言葉,ことば,Kata,"word, language",Noun,この言葉の意味が分かりません。,この ことば の いみ が わかりません,Saya tidak mengerti arti kata ini.,I don't understand the meaning of this word.
51,JLPT4,顔,かお,Wajah,face,Noun,彼はタオルで顔を拭きました。,かれ は たおる で かお を ふきました,Dia mengelap wajahnya dengan handuk.,He wiped his face with a towel.
52,JLPT4,どこ,どこ,Di mana,where,Noun,あの本をどこに置きましたか。,あの ほん を どこ に おきました か,Di mana kamu meletakkan buku itu?,Where did you put that book?
53,JLPT4,一つ,ひとつ,Satu,one (thing),Noun,それを一つください。,それ を ひとつ ください,Beri saya satu.,Please give me one of those.
54,JLPT3,あげる,あげる,Memberi,give,Verb,この本、あなたにあげます。,この ほん あなた に あげます,Saya beri buku ini untukmu.,I'll give you this book.
55,JLPT3,こう,こう,Begini,"like this, this kind of",Adverb,こう小さい字は読めない。,こう ちいさい じ は よめない,Saya tidak bisa membaca huruf sekecil ini.,I can't read such small letters.
56,JLPT4,学校,がっこう,Sekolah,school,Noun,学校は8時半に始まります。,がっこう は はちじはん に はじまります,Sekolah mulai jam 8:30.,School starts at 8:30.
57,JLPT3,くれる,くれる,Memberi,be given,Verb,友達が誕生日プレゼントをくれた。,ともだち が たんじょうび ぷれぜんと を くれた,Teman memberi saya hadiah ulang tahun.,My friend gave me a birthday present.
58,JLPT4,起きる,おきる,Terjadi,"get up, get out of bed",Verb,私は毎朝6時に起きます。,わたし は まいあさ ろくじ に おきます,Kejadian pencurian terjadi di sekitar sini.,I get up at six o'clock every morning.
59,JLPT4,春,はる,Musim semi,spring,Noun,今年の春は暖かいね。,ことし の はる は あたたかい ね,Musim semi tahun ini hangat.,"It's warm this spring, isn't it."
60,JLPT4,午前,ごぜん,Pagi,"morning, a.m.",Noun,午前9時のニュースです。,ごぜん くじ の にゅーす です,Ini berita jam 9 pagi.,And now for the 9.00 a.m. news.
61,JLPT4,買う,かう,Membeli,buy,Verb,郵便局で切手を買いました。,ゆうびんきょく で きって を かいました,Saya membeli perangko di kantor pos.,I bought a stamp at the post office.
62,JLPT2,別,べつ,Lain,"another, different",Adjectival Noun,別の本も見せてください。,べつ の ほん も みせて ください,Tolong tunjukkan buku lain.,Please show me another book.
63,JLPT0,終わる,おわる,Selesai,"finish, end",Verb,会議は4時に終わります。,かいぎ は よじ に おわります,Rapat selesai jam 4.,The conference ends at four o'clock.
64,JLPT4,若い,わかい,Muda,young,Adjective,彼はまだ若いです。,かれ は まだ わかい です,Dia masih muda.,He's still young.
65,JLPT2,かなり,かなり,Cukup,"fairly, rather",Adverb,彼はかなり英語が上手です。,かれ は かなり えいご が じょうず です,Dia cukup pandai berbahasa Inggris.,He's pretty good at English.
66,JLPT4,置く,おく,Menaruh,"put, leave",Verb,彼はかばんをいすの上に置きました。,かれ は かばん を いす の うえ に おきました,Dia menaruh tas di atas kursi.,He put the bag on the chair.
67,JLPT4,住む,すむ,Tinggal,"live, reside",Verb,彼は会社の近くに住んでいる。,かれ は かいしゃ の ちかく に すんで いる,Dia tinggal dekat perusahaan.,He lives near his office.
68,JLPT3,戻る,もどる,Kembali,"return, turn back",Verb,今、会社に戻ります。,いま かいしゃ に もどります,Sekarang saya kembali ke kantor.,I'm going back to the office now.
69,JLPT4,働く,はたらく,Bekerja,work,Verb,姉は銀行で働いています。,あね は ぎんこう で はたらいています。,Kakak saya bekerja di bank.,My big sister works at a bank.
70,JLPT4,後,あと,Setelah,after,Adverb,仕事の後、映画を見た。,しごと の あと えいが を みた,"Setelah bekerja, saya menonton film.",I saw a movie after work.
71,JLPT4,先生,せんせい,Guru,teacher,Noun,私は日本語の先生になりたいです。,わたし は にほんご の せんせい に なりたい です,Saya ingin menjadi guru bahasa Jepang.,I want to become a Japanese teacher.
72,JLPT4,立つ,たつ,Berdiri,"stand, rise",Verb,彼はステージに立った。,かれ は すてーじ に たった,Dia berdiri di atas panggung.,He stood on stage.
73,JLPT3,気,き,Perasaan,"spirit, temperament",Noun,彼は意外に気が小さい。,かれ は いがい に き が ちいさい,Dia ternyata sangat pemalu.,He's unexpectedly timid.
74,JLPT4,呼ぶ,よぶ,Memanggil,"call, name",Verb,ウェイターを呼びましょう。,うぇいたー を よびましょう,Mari panggil pelayan.,Let's call the waiter.
75,JLPT4,もっと,もっと,Lebih,more,Adverb,もっと近くに来てください。,もっと ちかく に きて ください,Datang lebih dekat.,Please come closer.
76,JLPT4,帰る,かえる,Pulang,"return, go back",Verb,家に帰ろう。,うち に かえろう,Mari pulang ke rumah.,Let's go home.
77,JLPT3,気持ち,きもち,Perasaan,"feeling, sensation",Noun,彼の気持ちが分からない。,かれ の きもち が わからない,Saya tidak mengerti perasaannya.,I don't understand his feelings.
78,JLPT4,飛ぶ,とぶ,Terbang,fly,Verb,鳥が飛んでいます。,とり が とんで います,Burung sedang terbang.,A bird is flying.
79,JLPT4,車,くるま,Mobil,"car, automobile",Noun,弟が車を買った。,おとうと が くるま を かった,Adik saya membeli mobil.,My younger brother bought a car.
80,JLPT3,変える,かえる,Mengubah,change,Verb,旅行の日程を変えました。,りょこう の にってい を かえました,Saya mengubah jadwal perjalanan.,I changed our travel schedule.
81,JLPT4,広い,ひろい,Luas,"wide, big",Adjective,彼の家はとても広い。,かれ の いえ は とても ひろい,Rumahnya sangat luas.,His house is very big.
82,JLPT0,分かる,わかる,Mengerti,understand,Verb,質問の意味は分かりましたか。,しつもん の いみ は わかりました か,Apakah Anda mengerti arti pertanyaannya?,Did you understand the meaning of the question?
83,JLPT2,数,かず,Jumlah,number,Noun,グラスの数が足りません。,ぐらす の かず が たりません,Jumlah gelasnya tidak cukup.,There are not enough glasses.
84,JLPT4,近い,ちかい,Dekat,"near, soon",Adjective,駅はここから近いです。,えき は ここ から ちかい です,Stasiun dekat dari sini.,The station is near here.
85,JLPT4,そこ,そこ,Di sana,there,Pronoun,そこに座ってください。,そこ に すわって ください,Silakan duduk di sana.,Please sit there.
86,JLPT4,走る,はしる,Berlari,run,Verb,彼は毎晩3キロ走っています。,かれ は まいばん さんきろ はしって います,Dia berlari 3 kilometer setiap malam.,Every night he runs three kilometers.
87,JLPT4,売る,うる,Menjual,sell,Verb,彼は家を売った。,かれ は いえ を うった,Dia menjual rumahnya.,He sold the house.
88,JLPT4,朝,あさ,Pagi,morning,Noun,気持ちのいい朝です。,きもち の いい あさ です,Ini pagi yang menyenangkan.,It's a pleasant morning.
89,JLPT4,教える,おしえる,Mengajar,"teach, tell",Verb,彼は数学を教えています。,かれ は すうがく を おしえて います,Dia mengajar matematika.,He teaches mathematics.
90,JLPT4,歩く,あるく,Berjalan,"walk, go on foot",Verb,駅まで歩きましょう。,えき まで あるきましょう,Mari berjalan ke stasiun.,Let's walk to the station.
91,JLPT0,直ぐ,すぐ,Segera,"at once, soon",Adverb,直ぐ行きます。,すぐ いきます,Saya akan segera pergi.,I'll go right away.
92,JLPT4,会う,あう,Bertemu,meet,Verb,また会いましょう。,また あいましょう,Mari bertemu lagi.,Let's meet again.
93,JLPT4,部屋,へや,Kamar,room,Noun,私の部屋は2階にあります。,わたし の へや は にかい に あります,Kamar saya ada di lantai dua.,My room is on the second floor.
94,JLPT2,起こる,おこる,Terjadi,happen,Verb,町で大事件が起こりました。,まち で だいじけん が おこりました,Peristiwa besar terjadi di kota.,There was a major incident in town.
95,JLPT4,秋,あき,Musim gugur,"autumn, fall",Noun,彼女は秋に結婚します。,かのじょ は あき に けっこん します,Dia akan menikah di musim gugur.,She'll get married this fall.
96,JLPT4,難しい,むずかしい,Sulit,difficult,Adjective,この本は難しいですね。,この ほん は むずかしい です ね,"Buku ini sulit, ya.",This book is difficult.
97,JLPT3,送る,おくる,Mengirim,send,Verb,彼の家に荷物を送りました。,かれ の いえ に にもつ を おくりました,Saya mengirim paket ke rumahnya.,I sent a package to his house.
98,JLPT4,死ぬ,しぬ,Meninggal,die,Verb,犬が病気で死にました。,いぬ が びょうき で しにました。,Anjing meninggal karena sakit.,Our dog got sick and died.
99,JLPT4,乗る,のる,Naik,"ride, take",Verb,駅からはタクシーに乗ってください。,えき からは たくしー に のって ください,"Dari stasiun, naiklah taksi.",Please take a taxi from the station.
100,JLPT4,安い,やすい,Murah,"inexpensive, cheap",Adjective,この服はとても安かった。,この ふく は とても やすかった,Pakaian ini sangat murah.,These clothes were very cheap.
101,JLPT4,書く,かく,Menulis,write,Verb,彼に手紙を書きました。,かれ に てがみ を かきました,Saya menulis surat untuknya.,I wrote him a letter.
102,JLPT4,話す,はなす,Berbicara,"speak, tell",Verb,母と電話で話しました。,はは と でんわ で はなしました,Saya berbicara dengan ibu melalui telepon.,I spoke to my mother on the phone.
103,JLPT4,頭,あたま,Kepala,head,Noun,今朝から頭が痛い。,けさ から あたま が いたい,Kepalaku sakit sejak pagi.,I've had a headache since this morning.
104,JLPT4,体,からだ,Tubuh,"body, health",Noun,私は体が丈夫だ。,わたし は からだ が じょうぶ だ,Tubuh saya kuat.,I'm physically strong.
105,JLPT4,ここ,ここ,Di sini,here,Pronoun,ここに本があります。,ここ に ほん が あります,Ada buku di sini.,There's a book here.
106,JLPT4,待つ,まつ,Menunggu,"wait, wait for",Verb,あなたが来るのを待っています。,あなた が くる の を まって います,Saya menunggu kedatanganmu.,I am waiting for you to come.
107,JLPT4,低い,ひくい,Pendek,"low, short",Adjective,彼は背が低い。,かれ は せ が ひくい,Dia pendek.,He's short.
108,JLPT3,もらう,もらう,Menerima,receive,Verb,彼女からプレゼントをもらいました。,かのじょ から ぷれぜんと を もらいました,Saya menerima hadiah dari dia.,I got a present from her.
109,JLPT4,食べる,たべる,Makan,eat,Verb,昨日タイカレーを食べました。,きのう たいかれー を たべました,Saya makan kari Thailand kemarin.,I had Thai curry yesterday.
110,JLPT4,早い,はやい,Cepat,early,Adjective,まだ学校へ行くには早い時間です。,まだ がっこう へ いく に は はやい じかん です,Masih terlalu pagi untuk pergi ke sekolah.,It's still too early to go to school.
111,JLPT4,兄,あに,Kakak laki-laki,older brother,Noun,兄は水泳が得意です。,あに は すいえい が とくい です,Kakak laki-laki saya pandai berenang.,My big brother is good at swimming.
112,JLPT4,名前,なまえ,Nama,name,Noun,あなたの名前を教えてください。,あなた の なまえ を おしえて ください,Tolong beri tahu nama Anda.,Please tell me your name.
113,JLPT2,夫,おっと,Suami,husband,Noun,私の夫はサラリーマンです。,わたし の おっと は さらりーまん です,Suami saya adalah seorang pekerja kantoran.,My husband is a company employee.
114,JLPT4,一,いち,Satu,one,Noun,一から始めましょう。,いち から はじめましょう,Mari mulai dari satu.,Let's start from the beginning.
115,JLPT4,結婚,けっこん,Pernikahan,marriage,Verbal Noun,彼女は来月結婚します。,かのじょ は らいげつ けっこん します,Dia akan menikah bulan depan.,She's getting married next month.
116,JLPT2,親,おや,Orang tua,parent,Noun,親の愛は有り難い。,おや の あい は ありがたい,Cinta orang tua sangat berharga.,We're grateful for our parents' love.
117,JLPT4,古い,ふるい,Tua,old,Adjective,私は古い車が好きです。,わたし は ふるい くるま が すき です,Saya suka mobil tua.,I like old cars.
118,JLPT3,美しい,うつくしい,Indah,beautiful,Adjective,この絵は美しいです。,この え は うつくしい です,Lukisan ini indah.,This picture is beautiful.
119,JLPT4,足,あし,Kaki,"leg, foot",Noun,彼は足が長い。,かれ は あし が ながい,Kakinya panjang.,He has long legs.
120,JLPT4,次,つぎ,Selanjutnya,next,Noun,次はいつ会いましょうか。,つぎ は いつ あいましょう か,Kapan kita bertemu lagi?,When shall we meet again?
121,JLPT0,起こす,おこす,Membangunkan,wake up,Verb,明日、6時に起こしてください。,あす ろくじ に おこして ください,Tolong bangunkan saya jam 6 besok.,Please wake me up tomorrow at six o'clock.
122,JLPT4,見せる,みせる,Menunjukkan,show,Verb,その写真を見せてください。,その しゃしん を みせて ください,Tolong tunjukkan foto itu.,Please show me those pictures.
123,JLPT3,娘,むすめ,Putri,"daughter, girl",Noun,私の娘はアメリカにいます。,わたし の むすめ は あめりか に います,Putri saya ada di Amerika.,My daughter is in the United States.
124,JLPT4,とても,とても,Sangat,very,Adverb,この本はとてもおもしろい。,この ほん は とても おもしろい,Buku ini sangat menarik.,This book is very interesting.
125,JLPT4,少し,すこし,Sedikit,"a bit, a little while",Adverb,少し疲れました。,すこし つかれました,Saya sedikit lelah.,I'm a little tired.
126,JLPT4,質問,しつもん,Pertanyaan,question,Verbal Noun,質問のある方はどうぞ。,しつもん の ある かた は どうぞ,Silakan ajukan pertanyaan jika ada.,Please feel free to ask any questions.
127,JLPT0,楽しむ,たのしむ,Menikmati,enjoy,Verb,今日は一人の時間を楽しみたい。,きょう は ひとり の じかん を たのしみたい,Hari ini saya ingin menikmati waktu sendirian.,Today I would like to enjoy some time to myself.
128,JLPT4,色,いろ,Warna,color,Noun,すてきな色のセーターですね。,すてき な いろ の せーたー です ね,Sweater ini warnanya bagus.,That sweater is a wonderful color.
129,JLPT4,みんな,みんな,Semua orang,"all, everybody",Noun,みんなにお菓子をあげましょう。,みんな に おかし を あげましょう,Mari beri semua orang permen.,Let's give everyone some sweets.
130,JLPT4,取る,とる,Mengambil,"take, get",Verb,テストでいい点を取った。,てすと で いい てん を とった,Saya mendapatkan nilai bagus dalam tes.,I got a good grade on the test.
131,JLPT4,勉強,べんきょう,Belajar,study,Verbal Noun,私は日本語を勉強しています。,わたし は にほんご を べんきょう して います,Saya belajar bahasa Jepang.,I'm studying Japanese.
132,JLPT0,出来る,できる,Bisa,"can do, be good at",Verb,彼女はイタリア語が出来ます。,かのじょ は いたりあご が できます,Dia bisa berbahasa Italia.,She knows Italian.
133,JLPT4,短い,みじかい,Pendek,"short, brief",Adjective,彼は足が短い。,かれ は あし が みじかい,Kakinya pendek.,His legs are short.
134,JLPT0,落ちる,おちる,Jatuh,"fall, sink",Verb,猿も木から落ちる。,さる も き から おちる,Bahkan monyet pun bisa jatuh dari pohon.,Monkeys also fall from trees.
135,JLPT3,息子,むすこ,Anak laki-laki,son,Noun,うちの息子は大学1年生です。,うち の むすこ は だいがく いちねんせい です,Anak laki-laki saya adalah mahasiswa tahun pertama.,My son's a college freshman.
136,JLPT4,白い,しろい,Putih,"white, blank",Adjective,彼は歯が白い。,かれ は は が しろい,Giginya putih.,His teeth are white.
137,JLPT2,誰,だれ,Siapa,"who, whom",Noun,誰と会ってみたいですか。,だれ と あって みたい です か,Anda ingin bertemu dengan siapa?,Who would you like to meet one day?
138,JLPT4,いつも,いつも,Selalu,always,Adverb,彼女はいつも元気だ。,かのじょ は いつも げんき だ,Dia selalu bersemangat.,She's always full of energy.
139,JLPT4,飛行機,ひこうき,Pesawat,airplane,Noun,息子は飛行機のおもちゃが好きです。,むすこ は ひこうき の おもちゃ が すき です,Anak laki-laki saya suka mainan pesawat.,My son likes toy airplanes.
140,JLPT3,勝つ,かつ,Menang,win,Verb,今日はヤンキースが勝った。,きょう は やんきーす が かった,Yankees menang hari ini.,The Yankees won today.
141,JLPT4,病気,びょうき,Sakit,illness,Verbal Noun,祖父が病気になった。,そふ が びょうき に なった,Kakek saya sakit.,My grandfather got sick.
142,JLPT4,冬,ふゆ,Musim dingin,winter,Noun,カナダの冬はとても寒いです。,かなだ の ふゆ は とても さむい です,Musim dingin di Kanada sangat dingin.,Canada's winters are very cold.
143,JLPT3,年,とし,Tahun,"year, age",Noun,新しい年が始まりました。,あたらしい とし が はじまりました,Tahun baru telah dimulai.,A new year has started.
144,JLPT4,重い,おもい,Berat,heavy,Adjective,このかばんは重いです。,この かばん は おもい です,Tas ini berat.,This bag is heavy.
145,JLPT2,胸,むね,Dada,chest,Noun,胸に少し痛みがあります。,むね に すこし いたみ が あります,Ada sedikit rasa sakit di dada.,I have a slight pain in my chest.
146,JLPT4,読む,よむ,Membaca,read,Verb,彼女は雑誌を読んでいます。,かのじょ は ざっし を よんで います,Dia sedang membaca majalah.,She's reading the magazine.
147,JLPT3,払う,はらう,Membayar,pay,Verb,私が払いましょう。,わたし が はらいましょう,Biar saya yang bayar.,Let me pay for that.
148,JLPT4,軽い,かるい,Ringan,"light, light weight",Adjective,この靴はとても軽い。,この くつ は とても かるい,Sepatu ini sangat ringan.,These shoes are very light.
149,JLPT3,見つける,みつける,Menemukan,find,Verb,新しい仕事を見つけました。,あたらしい しごと を みつけました。,Saya menemukan pekerjaan baru.,I found a new job.
150,JLPT4,いつ,いつ,Kapan,when,Noun,彼女はいつ来ますか。,かのじょ は いつ きます か,Kapan dia datang?,When is she coming?
151,JLPT4,友達,ともだち,Teman,"friend, companion",Noun,私には友達がたくさんいます。,わたし に は ともだち が たくさん います,Saya punya banyak teman.,I have a lot of friends.
152,JLPT4,忘れる,わすれる,Lupa,"forget, leave behind",Verb,約束を忘れないでください。,やくそく を わすれない で ください,Jangan lupa janji Anda.,Please don't forget your promise.
153,JLPT2,酒,さけ,Alkohol,"alcoholic drink, Japanese rice wine",Noun,彼女は酒に強い。,かのじょ は さけ に つよい,Dia kuat minum alkohol.,She holds her liquor well.
154,JLPT4,どちら,どちら,Yang mana,which,Noun,肉と魚とどちらが好きですか。,にく と さかな と どちら が すき です か,Kamu suka daging atau ikan?,"Which do you prefer, meat or fish?"
155,JLPT4,姉,あね,Kakak perempuan,older sister,Noun,姉は大学生です。,あね は だいがくせい です,Kakak perempuan saya adalah mahasiswa.,My big sister's a college student.
156,JLPT4,覚える,おぼえる,Menghafal,"memorize, learn",Verb,妹は平仮名を全部覚えました。,いもうと は ひらがな を ぜんぶ おぼえました,Adik perempuan saya menghafal semua hiragana.,My little sister learned all the hiragana.
157,JLPT4,狭い,せまい,Sempit,"narrow, restricted",Adjective,私の部屋は狭いです。,わたし の へや は せまい です,Kamar saya sempit.,My room is small.
158,JLPT4,好き,すき,Suka,"favorite, liked",Adjectival Noun,私はワインが好きです。,わたし は わいん が すき です,Saya suka anggur.,I like wine.
159,JLPT3,建てる,たてる,Membangun,"build, erect",Verb,私たちは来年、家を建てます。,わたしたち は らいねん いえ を たてます,Kami akan membangun rumah tahun depan.,We're building a house next year.
160,JLPT4,どれ,どれ,Yang mana,"what, which",Noun,この中でどれが好きですか。,この なか で どれ が すき です か,"Dari ini, yang mana yang kamu suka?",Which of these do you like?
161,JLPT4,赤い,あかい,Merah,red,Adjective,赤いバラを買いました。,あかい ばら を かいました,Saya membeli mawar merah.,I bought a red rose.
162,JLPT4,今日,きょう,Hari ini,today,Noun,今日は仕事がありません。,きょう は しごと が ありません,Hari ini saya tidak ada pekerjaan.,I have no work today.
163,JLPT4,着る,きる,Memakai,"wear, put on",Verb,今日はスーツを着ています。,きょう は すーつ を きて います,Saya memakai setelan hari ini.,I'm wearing a suit today.
164,JLPT3,笑う,わらう,Tertawa,"laugh, smile",Verb,赤ん坊が笑っています。,あかんぼう が わらって います,Bayi sedang tertawa.,The baby is laughing.
165,JLPT0,一番,いちばん,Paling,most,Adverb,彼はクラスで一番背が高い。,かれ は くらす で いちばん せ が たかい,Dia yang paling tinggi di kelas.,He's the tallest in class.
166,JLPT4,授業,じゅぎょう,Pelajaran,"class, lesson",Verbal Noun,今日は日本語の授業があります。,きょう は にほんご の じゅぎょう が あります,Hari ini ada pelajaran bahasa Jepang.,There's going to be a Japanese class today.
