Core-index,jlpt,Vocab-expression,Vocab-kana,Vocab-meaning-eng,Nep-meaning,Vocab-pos,Sentence-expression,Sentence-meaning-nep,Sentence-kana,Sentence-meaning-eng,Mnemonic,Explanation
511,JLPT3,政治,せいじ,politics,राजनीति,Noun,私は政治に関心がある。,मलाई राजनीतिमा चासो छ।,わたし は せいじ に かんしん が ある,I'm interested in politics.,"Imagine a sage (政治 - せいじ) giving a speech in front of a giant cheese wheel, discussing important political issues. 政治 (せいじ) means 'politics' in Japanese. Picture the sage saying, 'Cheese for all in my political agenda!'","{'word': '政治', 'pronunciation': 'せいじ', 'meanings': [{'nepali': 'राजनीति', 'english': 'politics', 'details': ['देश वा समाजको प्रशासनिक प्रणाली।']}]}"
512,JLPT2,実施,じっし,"enforcement, implementation",कार्यान्वयन,Verbal Noun,現在、スペシャルキャンペーンを実施中です。,"हाल, विशेष अभियान कार्यान्वयनमा छ।",げんざい すぺしゃるきゃんぺーん を じっしちゅう です,A special campaign is now under way.,"Visualize a genie (実 - じつ) granting wishes by giving people umbrellas (施 - し) to implement a rain-free day. 実施 (じっし) means 'implementation' or 'enforcement' in Japanese. Imagine the genie saying, 'Your wish for implementation is my command!'","{'word': '実施', 'pronunciation': 'じっし', 'meanings': [{'nepali': 'कार्यान्वयन', 'english': 'enforcement', 'details': ['कुनै योजना वा नियमलाई कार्यान्वयन गर्नु।']}, {'nepali': 'अमल', 'english': 'implementation', 'details': ['कुनै कुरा लागू गर्नु।']}]}"
513,JLPT2,開始,かいし,beginning,सुरू,Verbal Noun,運動会は9時開始です。,खेलकुद प्रतियोगिता बिहान ९ बजे सुरू हुन्छ।,うんどうかい は くじ かいし です,The athletic meet begins at nine o'clock.,"Imagine a giant kite (開始 - かいし) signaling the start of a big festival, soaring high in the sky. 開始 (かいし) means 'start' or 'commencement' in Japanese. Picture the kite saying, 'Let the festivities begin!'","{'word': '開始', 'pronunciation': 'かいし', 'meanings': [{'nepali': 'सुरू', 'english': 'beginning', 'details': ['कुनै कामको प्रारम्भ।']}]}"
514,JLPT2,備える,そなえる,"provide for, furnish","तयार गर्नु, व्यवस्था गर्नु",Verb,災害に備えて大量の水を買い込んだ。,प्राकृतिक प्रकोपको तयारीका लागि धेरै पानी किनें।,さいがい に そなえて たいりょう の みず を かいこんだ,I bought large quantities of water to prepare for disasters.,"Visualize a bear (備 - び) preparing (備える - そなえる) for hibernation, gathering supplies and making lists. 備える (そなえる) means 'to prepare' or 'to equip' in Japanese. Picture the bear saying, 'Gotta be prepared for winter!'","{'word': '備える', 'pronunciation': 'そなえる', 'meanings': [{'nepali': 'तयार गर्नु', 'english': 'provide for', 'details': ['कुनै स्थिति वा घटनाका लागि तयार हुनु।']}, {'nepali': 'व्यवस्था गर्नु', 'english': 'furnish', 'details': ['आवश्यक वस्तुहरू जुटाउनु।']}]}"
515,JLPT2,輸入,ゆにゅう,import,आयात,Verbal Noun,これはイタリアから輸入した服です。,यो इटालीबाट आयात गरिएको लुगा हो।,これ は いたりあ から ゆにゅう した ふく です,These clothes are imported from Italy.,"Imagine a giant UFO (輸 - ゆ) importing noodles (入 - にゅう) from space, delivering them to Earth. 輸入 (ゆにゅう) means 'import' in Japanese. Picture the UFO saying, 'Intergalactic noodle import service!'","{'word': '輸入', 'pronunciation': 'ゆにゅう', 'meanings': [{'nepali': 'आयात', 'english': 'import', 'details': ['विदेशी सामान ल्याउनु।']}]}"
516,JLPT0,最大,さいだい,"biggest, largest",सबैभन्दा ठूलो,Noun,これは世界最大の船です。,यो संसारको सबैभन्दा ठूलो जहाज हो।,これ は せかい さいだい の ふね です,This is the world's largest ship.,"Picture a massive max-sized (最大 - さいだい) daikon radish winning a giant vegetable contest. 最大 (さいだい) means 'maximum' or 'largest' in Japanese. Imagine the radish saying, 'I’m the biggest of them all!'","{'word': '最大', 'pronunciation': 'さいだい', 'meanings': [{'nepali': 'सबैभन्दा ठूलो', 'english': 'biggest', 'details': ['सबैभन्दा ठूलो आकार वा परिमाण।']}, {'nepali': 'विशाल', 'english': 'largest', 'details': ['विस्तृत वा महान् परिमाण।']}]}"
517,JLPT3,競争,きょうそう,competition,प्रतिस्पर्धा,Verbal Noun,2社は互いに競争している。,दुई कम्पनीहरू एकअर्कासँग प्रतिस्पर्धा गर्दैछन्।,にしゃ は たがい に きょうそう して いる,Two companies are competing with each other.,"Visualize two crazy cows (競 - きょう) racing in a competition (争 - そう) to win a golden trophy. 競争 (きょうそう) means 'competition' in Japanese. Picture the cows saying, 'May the best cow win!'","{'word': '競争', 'pronunciation': 'きょうそう', 'meanings': [{'nepali': 'प्रतिस्पर्धा', 'english': 'competition', 'details': ['कुनै लक्ष्यमा पुग्न दुई वा दुईभन्दा बढी व्यक्तिहरू बीचको संघर्ष।']}]}"
518,JLPT2,部分,ぶぶん,"part, section","भाग, खण्ड",Noun,この部分は問題ないです。,यो भाग समस्यामुक्त छ।,この ぶぶん は もんだい ない です,There's no problem with this part.,"Imagine a giant puzzle (部分 - ぶぶん) with each piece representing a different part of a story. 部分 (ぶぶん) means 'part' or 'section' in Japanese. Picture the puzzle pieces saying, 'We’re all parts of the whole!'","{'word': '部分', 'pronunciation': 'ぶぶん', 'meanings': [{'nepali': 'भाग', 'english': 'part', 'details': ['कुनै वस्तु वा संरचनाको एउटा हिस्सा।']}, {'nepali': 'खण्ड', 'english': 'section', 'details': ['कुनै वस्तु वा संरचनाको उपविभाग।']}]}"
519,JLPT4,消える,きえる,"be extinguished, disappear","मेटिनु, हराउनु",Verb,突然、電気が消えた。,अचानक बत्ती मेटियो।,とつぜん でんき が きえた,Suddenly the electricity went out.,"Imagine a magical koala (消 - き) disappearing (消える - きえる) in a puff of smoke during a magic show. 消える (きえる) means 'to disappear' or 'to vanish' in Japanese. Picture the koala saying, 'Now you see me, now you don’t!'","{'word': '消える', 'pronunciation': 'きえる', 'meanings': [{'nepali': 'मेटिनु', 'english': 'be extinguished', 'details': ['केही वस्तु वा उज्यालो बन्द हुनु।']}, {'nepali': 'हराउनु', 'english': 'disappear', 'details': ['कुनै वस्तु वा व्यक्ति दृश्यबाट हट्नु।']}]}"
520,JLPT4,家族,かぞく,"family, household","परिवार, घर",Noun,うちは五人家族です。,हामी पाँच जनाको परिवार हौं।,うち は ごにん かぞく です,We're a family of five.,"Visualize a family of kazoo-playing (家 - か) zebras (族 - ぞく) having a fun concert together. 家族 (かぞく) means 'family' in Japanese. Picture the zebras saying, 'Let’s play together as a family!'","{'word': '家族', 'pronunciation': 'かぞく', 'meanings': [{'nepali': 'परिवार', 'english': 'family', 'details': ['रक्त सम्बन्ध वा विवाहद्वारा सम्बन्धित व्यक्तिहरूको समूह।']}, {'nepali': 'घर', 'english': 'household', 'details': ['एउटै घरमा बस्ने व्यक्तिहरूको समूह।']}]}"
521,JLPT2,内容,ないよう,contents,"सामग्री, विषयवस्तु",Noun,この本の内容を説明してください。,यस पुस्तकको सामग्री वर्णन गर्नुहोस्।,この ほん の ないよう を せつめい して ください,Please explain the content of this book.,"Imagine a giant book (内 - ない) filled with yogurt (容 - よう), with each page revealing delicious secrets. 内容 (ないよう) means 'content' in Japanese. Picture the book saying, 'Yummy secrets inside!'","{'word': '内容', 'pronunciation': 'ないよう', 'meanings': [{'nepali': 'सामग्री', 'english': 'contents', 'details': ['कुनै वस्तु वा लेखको सामग्री वा विवरण।']}, {'nepali': 'विषयवस्तु', 'english': 'subject matter', 'details': ['कुनै लेख, पुस्तक वा छलफलको मुख्य विषय।']}]}"
522,JLPT3,比べる,くらべる,"compare, contrast",तुलना गर्नु,Verb,今月と先月の売上を比べた。,यो महिना र गत महिनाको बिक्री तुलना गरियो।,こんげつ と せんげつ の うりあげ を くらべた,I compared this month's sales with last month's.,"Picture two burritos (比 - くら) being compared (比べる - くらべる) in a taste test to see which one is better. 比べる (くらべる) means 'to compare' in Japanese. Picture the burritos saying, 'Who’s tastier?'","{'word': '比べる', 'pronunciation': 'くらべる', 'meanings': [{'nepali': 'तुलना गर्नु', 'english': 'compare', 'details': ['दुई वा दुई भन्दा बढी वस्तुहरूका विशेषताहरूको तुलना गर्नु।']}, {'nepali': 'मूल्याङ्कन गर्नु', 'english': 'contrast', 'details': ['दुई वा दुई भन्दा बढी वस्तुहरूको भिन्नता तुलना गर्नु।']}]}"
523,JLPT4,生まれる,うまれる,"be born, come into existence",जन्मनु,Verb,姉夫婦に男の子が生まれました。,मेरो दिदीभिनाजुको एउटा छोरा जन्मियो।,あね ふうふ に おとこのこ が うまれました,My sister and her husband had a baby boy.,"Imagine a bear (生 - う) giving birth (生まれる - うまれる) to a bunch of tiny cubs, all popping out of eggs. 生まれる (うまれる) means 'to be born' in Japanese. Picture the bear saying, 'Welcome to the world, cubs!'","{'word': '生まれる', 'pronunciation': 'うまれる', 'meanings': [{'nepali': 'जन्मनु', 'english': 'be born', 'details': ['कुनै व्यक्तिको जन्म हुनु।']}, {'nepali': 'उत्पन्न हुनु', 'english': 'come into existence', 'details': ['कुनै नयाँ वस्तु वा विचारको उत्पत्ति हुनु।']}]}"
524,JLPT2,与える,あたえる,give,दिनु,Verb,そのニュースは彼に大きなショックを与えた。,त्यो समाचारले उसलाई ठूलो झटका दियो।,その にゅーす は かれ に おおき な しょっく を あたえた,The news gave him a great shock.,"Visualize a yo-yo (与 - あた) being given (与える - あたえる) to a happy child as a gift. 与える (あたえる) means 'to give' in Japanese. Picture the child saying, 'Thank you for the yo-yo!'","{'word': '与える', 'pronunciation': 'あたえる', 'meanings': [{'nepali': 'दिनु', 'english': 'give', 'details': ['कसैलाई केही प्रदान गर्नु।']}, {'nepali': 'प्रभाव पार्नु', 'english': 'affect', 'details': ['कुनै कुरा वा घटना कसैमा प्रभाव पार्नु।']}]}"
525,JLPT1,選挙,せんきょ,election,निर्वाचन,Verbal Noun,彼は選挙に出るつもりだ。,उहाँ निर्वाचनमा उठ्न चाहनुहुन्छ।,かれ は せんきょ に でる つもり だ,He intends to run in the election.,"Imagine a giant senko (選 - せん) stick being used to draw votes (挙 - きょ) during an election. 選挙 (せんきょ) means 'election' in Japanese. Picture the stick saying, 'Vote for me!'","{'word': '選挙', 'pronunciation': 'せんきょ', 'meanings': [{'nepali': 'निर्वाचन', 'english': 'election', 'details': ['जनताले आफ्नो प्रतिनिधि चयन गर्न मतदान गर्ने प्रक्रिया।']}]}"
526,JLPT2,対立,たいりつ,"opposition, antagonism","विरोध, प्रतिद्वन्द्विता",Verbal Noun,その2社は対立しています。,ती दुई कम्पनीहरू एकअर्काको विरोधमा छन्।,その にしゃ は たいりつ して います,The two companies are against each other.,"Picture two tigers (対 - たい) facing off in a dramatic standoff (立 - りつ). 対立 (たいりつ) means 'confrontation' or 'opposition' in Japanese. Imagine the tigers saying, 'Let’s settle this!'","{'word': '対立', 'pronunciation': 'たいりつ', 'meanings': [{'nepali': 'विरोध', 'english': 'opposition', 'details': ['कुनै विचार, प्रस्ताव वा व्यक्तिको विरोध गर्नु।']}, {'nepali': 'प्रतिद्वन्द्विता', 'english': 'antagonism', 'details': ['दुई वा दुईभन्दा बढी पक्षहरूको बीचमा हुने प्रतिद्वन्द्विता।']}]}"
527,JLPT3,理由,りゆう,"reason, cause",कारण,Noun,遅れた理由を教えてください。,किन ढिलो भएको भन्ने कारण बताउनुहोस्।,おくれた りゆう を おしえて ください,Please tell me why you were late.,"Visualize a lion (理 - り) and a unicorn (由 - ゆう) debating the reasons for why they should be king. 理由 (りゆう) means 'reason' in Japanese. Picture them saying, 'The reason is obvious!'","{'word': '理由', 'pronunciation': 'りゆう', 'meanings': [{'nepali': 'कारण', 'english': 'reason', 'details': ['कुनै घटनाको कारण।']}, {'nepali': 'कारक', 'english': 'cause', 'details': ['कुनै परिणाम ल्याउने कारक।']}]}"
528,JLPT2,構成,こうせい,organization,"संरचना, संगठन",Verbal Noun,システムの構成を変えてみました。,मैले प्रणालीको संरचना परिवर्तन गरें।,しすてむ の こうせい を かえて みました,I've tried to reorganize the system.,"Imagine a construction crew (構 - こう) building a giant sandcastle (成 - せい) on the beach, with each member knowing their role. 構成 (こうせい) means 'composition' or 'organization' in Japanese. Picture them saying, 'Building together perfectly!'","{'word': '構成', 'pronunciation': 'こうせい', 'meanings': [{'nepali': 'संरचना', 'english': 'organization', 'details': ['कुनै वस्तुको बनावट वा संरचना।']}, {'nepali': 'संगठन', 'english': 'constitution', 'details': ['कुनै समूह वा प्रणालीको गठन।']}]}"
529,JLPT2,管理,かんり,"management, administration","व्यवस्थापन, प्रशासन",Verbal Noun,彼女が私のスケジュールを管理している。,उहाँले मेरो तालिका व्यवस्थापन गर्नुहुन्छ।,かのじょ が わたし の すけじゅーる を かんり して いる,She manages my schedule.,"Picture a kangaroo (管 - かん) with a clipboard managing (理 - り) a bustling zoo. 管理 (かんり) means 'management' or 'control' in Japanese. Imagine the kangaroo saying, 'Everything under control!'","{'word': '管理', 'pronunciation': 'かんり', 'meanings': [{'nepali': 'व्यवस्थापन', 'english': 'management', 'details': ['स्रोतहरू, प्रक्रियाहरू, र मानिसहरूको समुचित नियन्त्रण र समन्वय।']}, {'nepali': 'प्रशासन', 'english': 'administration', 'details': ['कुनै संगठन वा प्रणालीको सञ्चालन र व्यवस्थापन।']}]}"
530,JLPT2,増加,ぞうか,"increase, gain",वृद्धि,Verbal Noun,島の人口は年々増加しています。,द्वीपको जनसंख्या हरेक वर्ष बढ्दैछ।,しま の じんこう は ねんねん ぞうか して います,The population of the island increases every year.,"Imagine a giant zookeeper (増 - ぞう) adding more and more animals (加 - か) to the zoo. 増加 (ぞうか) means 'increase' in Japanese. Picture the zookeeper saying, 'More animals, more fun!'","{'word': '増加', 'pronunciation': 'ぞうか', 'meanings': [{'nepali': 'वृद्धि', 'english': 'increase', 'details': ['कुनै वस्तु, परिमाण, वा जनसंख्याको बृद्धि।']}, {'nepali': 'वृद्धि हुनु', 'english': 'gain', 'details': ['परिमाणमा वृद्धि हुनु।']}]}"
531,JLPT1,改革,かいかく,reform,सुधार,Verbal Noun,彼は行政を改革したいと思っている。,उहाँ प्रशासनलाई सुधार गर्न चाहनुहुन्छ।,かれ は ぎょうせい を かいかく したい と おもって いる,He wants to reform the administration.,"Picture a kaiju (改革 - かいかく) monster transforming (reforming) the city with a giant magic wand. 改革 (かいかく) means 'reform' in Japanese. Imagine the kaiju saying, 'Reforming the world!'","{'word': '改革', 'pronunciation': 'かいかく', 'meanings': [{'nepali': 'सुधार', 'english': 'reform', 'details': ['कुनै प्रणाली, संगठन, वा प्रक्रियामा सुधार गर्नु।']}]}"
532,JLPT1,会談,かいだん,"conversation, meeting","वार्ता, बैठक",Verbal Noun,会談の内容が発表されました。,वार्ताको सामग्री घोषणा गरियो।,かいだん の ないよう が はっぴょう されました,The content of the talks was announced.,"Imagine a giant danish pastry (談 - だん) hosting a meeting (会 - かい) with other pastries discussing their plans. 会談 (かいだん) means 'meeting' or 'conference' in Japanese. Picture the pastry saying, 'Let’s discuss over coffee!'","{'word': '会談', 'pronunciation': 'かいだん', 'meanings': [{'nepali': 'वार्ता', 'english': 'conversation', 'details': ['दुई वा दुईभन्दा बढी व्यक्तिहरू बीचको औपचारिक छलफल।']}, {'nepali': 'बैठक', 'english': 'meeting', 'details': ['कुनै विशेष उद्देश्यका लागि आयोजना गरिएको सभा।']}]}"
533,JLPT0,会長,かいちょう,"president, chairperson","अध्यक्ष, सभापति",Noun,初めに会長が挨拶した。,पहिले अध्यक्षले अभिवादन गर्नुभयो।,はじめ に かいちょう が あいさつ した,First was the chairman's greetings.,"Picture a giant choo-choo train (長 - ちょう) being the chairman (会 - かい) of a train company. 会長 (かいちょう) means 'chairman' in Japanese. Imagine the train saying, 'All aboard the leadership train!'","{'word': '会長', 'pronunciation': 'かいちょう', 'meanings': [{'nepali': 'अध्यक्ष', 'english': 'president', 'details': ['कुनै संगठनको प्रमुख।']}, {'nepali': 'सभापति', 'english': 'chairperson', 'details': ['कुनै सभा वा समितिको अध्यक्षता गर्ने व्यक्ति।']}]}"
534,JLPT1,ソフト,ソフト,"software, programme",सफ्टवेयर,Noun,このソフトで日本語を勉強することができます。,यो सफ्टवेयरले जापानी भाषा सिक्न सकिन्छ।,この そふと で にほんご を べんきょう する こと が できます,You can study Japanese with this software.,"Imagine a soft-serve ice cream (ソフト) that can also function as a computer software. ソフト (そふと) means 'software' in Japanese. Picture the ice cream saying, 'I’m delicious and useful!'","{'word': 'ソフト', 'pronunciation': 'そふと', 'meanings': [{'nepali': 'सफ्टवेयर', 'english': 'software', 'details': ['कम्प्युटर प्रोग्रामहरू र डेटा।']}]}"
535,JLPT1,提供,ていきょう,"offer, provide","प्रदान, प्रस्ताव",Verbal Noun,彼がパーティー会場を提供してくれました。,उहाँले पार्टी स्थल प्रदान गर्नुभयो।,かれ が ぱーてぃー かいじょう を ていきょう して くれました,He provided us with the venue for the party.,"Imagine a koala (供 - きょう) offering (提供 - ていきょう) you a cup of tea. 提供 (ていきょう) means 'offer' or 'supply' in Japanese. Picture the koala saying, 'Tea for you!'","{'word': '提供', 'pronunciation': 'ていきょう', 'meanings': [{'nepali': 'प्रदान', 'english': 'offer', 'details': ['कुनै सेवा वा वस्तु प्रदान गर्नु।']}, {'nepali': 'प्रस्ताव', 'english': 'provide', 'details': ['आवश्यकताहरू पूरा गर्ने प्रस्ताव गर्नु।']}]}"
536,JLPT2,ただ,ただ,free,निःशुल्क,Noun,この温泉はただです。,यो तातोपानी निःशुल्क छ।,この おんせん は ただ です,This hot spring is free.,"Visualize a pirate (ただ) who insists everything should be free, giving away treasure chests. ただ means 'free' or 'only' in Japanese. Picture the pirate saying, 'Free for all!'","{'word': 'ただ', 'pronunciation': 'ただ', 'meanings': [{'nepali': 'निःशुल्क', 'english': 'free', 'details': ['कुनै मूल्य नलाग्ने।']}]}"
537,JLPT2,これら,これら,these,यी,Noun,今日はこれらの問題について話し合います。,आज हामी यी समस्याहरूको बारेमा छलफल गर्छौं।,きょう は これら の もんだい に ついて はなしあいます,We will discuss these issues today.,"Imagine a bunch of corgis (これ) saying 'Here are these things' while pointing to various objects. これら (これら) means 'these' in Japanese. Picture the corgis saying, 'These are ours!'","{'word': 'これら', 'pronunciation': 'これら', 'meanings': [{'nepali': 'यी', 'english': 'these', 'details': ['कुनै निश्चित कुराहरू।']}]}"
538,JLPT2,広がる,ひろがる,"spread out, reach","फैलिनु, पुग्नु",Verb,留学してから私の世界が広がった。,विद्यार्थी भएपछि मेरो संसार फैलियो।,りゅうがく して から わたし の せかい が ひろがった,My world expanded after studying abroad.,"Picture a hippo (広 - ひろ) spreading (広がる - ひろがる) its arms wide to show how far things can spread. 広がる (ひろがる) means 'to spread' in Japanese. Imagine the hippo saying, 'Spreading far and wide!'","{'word': '広がる', 'pronunciation': 'ひろがる', 'meanings': [{'nepali': 'फैलिनु', 'english': 'spread out', 'details': ['कुनै कुरा विस्तार हुनु।']}, {'nepali': 'पुग्नु', 'english': 'reach', 'details': ['कुनै कुरा विस्तार भएर पुग्नु।']}]}"
539,JLPT2,特徴,とくちょう,"distinctive feature, characteristic","विशेषता, चरित्र",Noun,この曲線がこの車の特徴です。,यो कारको यो वक्र रेखा यसको विशेषता हो।,この きょくせん が この くるま の とくちょう です,These curves are a unique feature of this car.,"Imagine a talking choco-chip (特徴 - とくちょう) cookie explaining its unique features. 特徴 (とくちょう) means 'feature' or 'characteristic' in Japanese. Picture the cookie saying, 'I’m special because of my choco-chips!'","{'word': '特徴', 'pronunciation': 'とくちょう', 'meanings': [{'nepali': 'विशेषता', 'english': 'distinctive feature', 'details': ['कुनै वस्तु वा व्यक्तिको विशेष गुण।']}, {'nepali': 'चरित्र', 'english': 'characteristic', 'details': ['कुनै वस्तु वा व्यक्तिको विशिष्टता।']}]}"
540,JLPT3,調べる,しらべる,"investigate, check","अनुसन्धान गर्नु, जाँच गर्नु",Verb,この単語の意味を辞書で調べましょう。,यस शब्दको अर्थ शब्दकोशमा जाँचौं।,この たんご の いみ を じしょ で しらべましょう,Let's look up the meaning of this word in the dictionary.,"Imagine a detective shrimp (調 - しら) investigating (調べる - しらべる) a crime scene with a magnifying glass. 調べる (しらべる) means 'to investigate' or 'to look into' in Japanese. Picture the shrimp saying, 'Investigation is on!'","{'word': '調べる', 'pronunciation': 'しらべる', 'meanings': [{'nepali': 'अनुसन्धान गर्नु', 'english': 'investigate', 'details': ['कुनै विषय वा समस्याको बारेमा गहिरो अनुसन्धान गर्नु।']}, {'nepali': 'जाँच गर्नु', 'english': 'check', 'details': ['कुनै वस्तु वा कुराको सटीकता वा स्थिति जाँच गर्नु।']}]}"
